comment,desc,title
0条点评,整套出租/1室0厅/1张床/宜住2人,下元商贸 公元时代城 北欧风情 铁艺琉璃阁
0条点评,整套出租/1室0厅/1张床/宜住2人,下元商贸 理工大 港式风格 水晶琉璃阁
2条点评,整套出租/2室0厅/2张床/宜住4人,太原小店恒大绿洲阳光充沛整洁舒适大床房
4.3分/10条点评,整套出租/2室1厅/2张床/宜住4人,三才公寓长治路 亲贤街 茂业百盛王府井两居室
0条点评,整套出租/1室0厅/1张床/宜住2人,黄色经典，日式风格榻榻米情趣大床房。
1条点评,整套出租/2室1厅/2张床铺/宜住4人,太原北美N1【以家】南站机场2室1厅商旅套房
0条点评,整套出租/1室0厅/1张床/宜住2人,山西大学『念念精品民宿』近南站 含发票
0条点评,整套出租/1室0厅/1张床/宜住2人,【慕闲小筑】下元工大简欧田园大床房自助入住
0条点评,整套出租/1室0厅/1张床/宜住2人,下元商业中心精品公寓万爱庄园影院房
4.3分/16条点评,整套出租/1室0厅/1张床/宜住2人,柳巷南温馨公寓
4.8分/24条点评,整套出租/1室0厅/1张床/宜住2人,北美新天地欧式田园小清新大床房(电脑)
2条点评,整套出租/1室0厅/1张床/宜住2人,壹壹大床棋牌一居室（理工大，科技大西客站）
4.9分/9条点评,整套出租/2室1厅/2张床/宜住4人,【缘宿】机场南站山西大医院北美N1轻奢房
3条点评,整套出租/2室1厅/2张床/宜住4人,近南站，近机场北欧ins剧幕风两居
0条点评,独立单间/1张床/宜住2人,‖机场南站浪漫情侣套房‖商旅‖接受机服务
5分/5条点评,整套出租/1室1厅/1张床/宜住2人,【缘宿】影巢 头等舱120寸幕布影院房
5分/11条点评,整套出租/2室1厅/2张床/宜住4人,柳巷茂业时尚轻奢两居室
0条点评,整套出租/1室0厅/1张床/宜住2人,近N1【顺牛＆民宿】【按摩椅】豪华欧式独居室
4.9分/16条点评,整套出租/1室1厅/1张床/宜住2人,晋阳街北美N1文创区南站地中海风情一居室套房
4.9分/7条点评,整套出租/1室1厅/1张床/宜住2人,米高美长风CBD商圈北美新天地火烈鸟元素套房
4.9分/24条点评,整套出租/1室0厅/2张床/宜住3人,太原火车南站.机场阳光大床房(密码锁)
0条点评,整套出租/1室1厅/1张床/宜住2人,下元中心东方之韵55寸小米电视配定制书桌创意
1条点评,整套出租/2室1厅/2张床铺/宜住4人,近太原南站，火车站，白云寺现代简欧两居室
0条点评,独立单间/1张床/宜住2人,『机场南站影音大床房』北欧小情调/差旅/接机
3条点评,整套出租/1室1厅/1张床/宜住2人,【虞美人·听雨】复式轻奢梦幻投影 南站长风街
0条点评,整套出租/1室0厅/1张床/宜住2人,山西大学『念念精品民宿』近太原南站 含发票
1条点评,整套出租/1室0厅/1张床/宜住2人,下元中心精装公寓民宿阳光情侣大床房2007
4.9分/21条点评,整套出租/1室1厅/1张床/宜住2人,【缘宿】光影 极简100寸幕布智能影院房
2条点评,整套出租/1室0厅/1张床/宜住2人,晋阳街北美N1南站【依舍公寓】豪华大床房
4.9分/45条点评,整套出租/2室1厅/2张床/宜住4人,建设路与北中环交叉口，国越龙城
0条点评,整套出租/1室1厅/1张床/宜住2人,喵小屋 A10 铜锣湾温馨舒适大床房
2条点评,整套出租/1室1厅/1张床/宜住2人,【虞美人·梳楼】复式Loft带厨房小资ins
2条点评,整套出租/1室0厅/1张床/宜住2人,东京之恋大床房，智能门锁，50寸小米智能电视
0条点评,独立单间/2张床/宜住10人,电竞游戏/商旅/网红格调/聚会/紧邻机场南站
4.8分/13条点评,整套出租/3室2厅/3张床/宜住6人,23高铁站恒大绿洲三室一卫红灯笼
3条点评,整套出租/2室1厅/2张床/宜住4人,米高美长风CBD商圈北美新天地旁邂逅繁华两居
4.8分/4条点评,整套出租/1室0厅/1张床/宜住2人,小店区昌盛街宝莲寺简约时尚家居
0条点评,整套出租/2室1厅/2张床铺/宜住4人,万象城•长风商务区（配有投影仪麻将）哈哈民宿
4.9分/11条点评,整套出租/1室0厅/1张床/宜住2人,【少女】步行5分钟到火车站/五一广场情侣房
5分/5条点评,整套出租/1室0厅/1张床/宜住2人,太原南站超级豪华大床房
2条点评,整套出租/1室0厅/1张床/宜住2人,下元公元时代黄色经典恋家之旅智能门锁
3条点评,整套出租/2室2厅/2张床/宜住4人,市中心高档小区，两居整租，阳光充沛，配套齐全
0条点评,整套出租/1室0厅/1张床/宜住2人,万象城长风商务区高端公寓大床房一室/哈哈民宿
0条点评,整套出租/3室2厅/3张床/宜住6人,学府街/平阳路/汾河公园舒适三居室
2条点评,整套出租/1室0厅/1张床/宜住2人,晋阳街北美N1南站【依舍公寓】轻奢大床房
3.3分/22条点评,整套出租/1室0厅/1张床/宜住2人,西西里传说精致一居带厨房
1条点评,整套出租/2室2厅/2张床/宜住4人,糖巢金色年华夜景两居室
3条点评,整套出租/2室1厅/2张床/宜住4人,长风西街和平南路万科蓝山欧式风情2居室
0条点评,整套出租/1室0厅/1张床/宜住2人,公元时代城情侣独立智能门锁自动入住1023
0条点评,整套出租/2室1厅/3张床/宜住4人,东中环火车站东客站服装城温馨观景房
1条点评,整套出租/1室1厅/1张床/宜住2人,N1蜗牛公寓•云水地中海风情小屋
0条点评,整套出租/1室1厅/1张床/宜住2人,长风街阳光银座 蔚蓝星空影视大床房
5分/14条点评,整套出租/1室1厅/1张床/宜住2人,温馨舒适省人民医院附近并州北路鸿瑞佳园高层
0条点评,整套出租/2室1厅/2张床/宜住4人,巢寓  恒大绿洲两室一厅智能家居影院房2
0条点评,整套出租/2室1厅/2张床/宜住5人,紧邻晋祠公园，整套，复试氧吧大床房
0条点评,整套出租/1室1厅/1张床/宜住2人,北美n1附近南站lot大床空调 100寸影音
2条点评,整套出租/2室1厅/2张床/宜住4人,未晚公寓  柳巷小清新两居可做饭投影房
4.3分/5条点评,整套出租/1室1厅/1张床/宜住2人,清闲小筑高新区、北美N1妇幼儿童医院一室一厅
0条点评,整套出租/1室0厅/1张床/宜住2人,长风街和信旁逸时光涯雨Ⅳ
3.9分/4条点评,整套出租/1室1厅/1张床/宜住2人,【虞美人春花秋月何时了】南站机场长风loft
0条点评,整套出租/1室0厅/1张床/宜住2人,120寸投影大床，1室1厅，独立厨卫做饭洗衣
1条点评,整套出租/1室1厅/1张床/宜住2人,【蝶尚】近山西大学·新南站·彩色清新一居套房
5分/19条点评,整套出租/1室1厅/2张床/宜住3人,市中心 火车站附近 高档小区电脑空调地暖
2条点评,整套出租/1室1厅/1张床/宜住2人,【未莱公寓】北欧风格投影大床房配有麻将桌
0条点评,整套出租/1室1厅/1张床/宜住2人,下元商业中心精品公寓文艺一叶影院房
0条点评,整套出租/2室1厅/2张床/宜住4人,太原市近万象城欧洋清新两居室
5分/22条点评,整套出租/1室0厅/1张床/宜住2人,迎泽大街下元精装时尚一居室可做饭调味全
0条点评,整套出租/2室2厅/2张床/宜住4人,高层娱乐高清电影房，主题桌游房间
0条点评,整套出租/1室0厅/1张榻榻米/宜住2人,长风街和信旁逸时光涯雨Ⅱ
1条点评,整套出租/1室0厅/2张床/宜住3人,太原火车南站.山大.机场阳光三人房(密码锁)
5分/5条点评,整套出租/1室0厅/1张床/宜住2人,【梵高先生】星空 影院大床房
0条点评,整套出租/2室1厅/2张床/宜住4人,【橙途】近和平公园/万象城 儿童房两居室
0条点评,整套出租/1室0厅/2张床/宜住2人,【橙途】富力/万达广场 简约温馨一居室
4.8分/35条点评,整套出租/1室1厅/2张床/宜住3人,百年柳巷大标间-可做饭
0条点评,整套出租/1室0厅/1张床/宜住2人,晋阳街北美N1南站【依舍公寓】美式大床房
4.9分/9条点评,整套出租/1室0厅/1张床/宜住2人,太原北美N1【以家】南站机场开放式浴缸怡情房
0条点评,整套出租/2室1厅/2张床铺/宜住2人,太原宇航家庭公寓
4.9分/11条点评,整套出租/1室0厅/1张床/宜住3人,太原西客站安心家，公交高速超市清新宁怡可长租
0条点评,整套出租/2室1厅/2张床/宜住4人,N1蜗牛公寓·文创荷塘月色两室一厅
1条点评,整套出租/1室0厅/1张床/宜住2人,【幸福小窝】柳巷火车站繁华地段榻榻米大床房
1条点评,整套出租/3室1厅/3张床/宜住6人,长风街三室巨幕影院+棋牌套房
0条点评,整套出租/2室1厅/3张床/宜住5人,下元汽车站西侧，舒适两居室，大床，宜住五人！
5分/18条点评,整套出租/1室0厅/1张床/宜住2人,【缘宿】微影 智能灯控投影大床房
0条点评,整套出租/1室1厅/1张床/宜住2人,毛豆豆大套间一室一厅一厨一卫55平米舒适安逸
0条点评,整套出租/2室1厅/2张床/宜住4人,N1蜗牛公寓·北美文创雅客居
1条点评,整套出租/1室1厅/1张床/宜住2人,米高美长风CBD商圈北美新天地旁简约清馨套房
4.8分/9条点评,整套出租/1室0厅/1张床/宜住2人,太原北美N1【以家】南站机场开放式浴缸温情房
3条点评,整套出租/1室0厅/1张床/宜住2人,【梵高先生】杏花，北美N1投影大床房
5分/5条点评,独立单间/1张床/宜住2人,滨河东路汾河观景北欧大床民宿1号
1条点评,整套出租/1室0厅/1张床/宜住2人,近高铁（太原南）站，建南汽车站，现代简约小居
0条点评,整套出租/4室0厅/6张床/宜住10人,聚会/轰趴/电竞/电影/棋牌/组团/接送服务
0条点评,整套出租/1室1厅/1张床/宜住2人,【缘宿】偶遇南站机场北美N1红灯笼投影大床房
4.9分/14条点评,整套出租/1室0厅/1张床/宜住2人,临近太原南站，机场，（可接机）
0条点评,整套出租/2室1厅/2张床/宜住4人,【橙途】富力广场/近万达 如沐春风两居室
0条点评,整套出租/1室0厅/1张床/宜住2人,下元智诚御景阳光大床房单间整租
4.7分/52条点评,整套出租/2室2厅/2张床/宜住4人,1喜迎二青会·高速口欧式豪华双卧双卫景观美宅
5分/6条点评,整套出租/1室1厅/1张床/宜住2人,蓝朋友近火车站铜锣湾柳巷食品街五一广夜市
0条点评,整套出租/1室1厅/2张床/宜住4人,南站附近高配置电竞房整租
2条点评,整套出租/1室0厅/1张床/宜住2人,长治路逸时光简欧风格大床房
4.8分/5条点评,整套出租/2室2厅/2张床/宜住4人,北美新天地时尚购物中心附近美式豪华亲子房
3条点评,整套出租/1室0厅/1张床/宜住2人,【艺宿公寓】现代简约大床房/高铁南站、飞机场
0条点评,整套出租/1室1厅/2张床铺/宜住2人,太榆路蓝海汽配城聚瑞大民宿公寓楼整租
2条点评,整套出租/2室1厅/2张床铺/宜住6人,东景苑临近高铁站飞机场，惬意舒适的榻榻米屋
2条点评,整套出租/2室1厅/2张床铺/宜住4人,太原客运西站，“朴宿”精品民宿欢迎您的到来
0条点评,整套出租/2室1厅/2张床/宜住4人,「花间棠」南站/机场/清新两居大床房
0条点评,整套出租/1室0厅/1张床/宜住2人,下元理工大中心65平超大简欧风格摇摇椅大床房
2条点评,整套出租/2室1厅/2张床/宜住4人,恒大未来城轻奢Loft 商务公寓
5分/17条点评,整套出租/1室1厅/1张床/宜住2人,米高美长风CBD商圈北美新天地旁北欧风情套房
1条点评,整套出租/1室0厅/1张床/宜住2人,山西大医院，小马，龙城大街，平阳路，滨河东路
0条点评,整套出租/3室1厅/3张床铺/宜住4人,LOG雅居
0条点评,整套出租/1室0厅/1张床铺/宜住2人,雨竹情红色圆床
4.9分/16条点评,整套出租/3室1厅/3张床/宜住5人,接送近晋祠温馨三居室36可聚会
2条点评,整套出租/1室0厅/1张床/宜住2人,晋阳街 北美N1 南站飞机场/欧式精装一居室
0条点评,整套出租/1室0厅/1张床/宜住2人,智能门锁，绿色经典日式简约情侣大床房精装公寓
0条点评,整套出租/3室1厅/3张床/宜住6人,南中环/火车南站/机场温馨三居室
4.6分/8条点评,整套出租/1室0厅/1张床/宜住2人,暑期特促！南站机场落地玻璃大床房长风街商圈～
0条点评,整套出租/2室1厅/2张床/宜住4人,华峪南区 ，近下元，五十六中，迎泽大街，和平
0条点评,整套出租/2室0厅/2张床/宜住3人,下元铁道大厦旁，豪华精装两居，大床宜住三人！
0条点评,整套出租/1室0厅/1张床/宜住2人,工业复古房120寸投影大床独立厨卫洗衣做饭
2条点评,整套出租/1室0厅/1张床/宜住2人,壹壹民宿公寓酒吧风一居室（理工大、西客站）
5分/6条点评,整套出租/1室1厅/2张床/宜住2人,机场 南站 附近 快乐休憩小屋
2条点评,整套出租/2室1厅/2张床/宜住4人,火车南站飞机场山西大学财大南校两室一厅有空调
3.4分/4条点评,整套出租/2室1厅/2张床/宜住3人,太原长风街 北美新天地 豪华舒适2居室
4.2分/10条点评,整套出租/2室2厅/2张床/宜住4人,长风街北美新天地 舒适精品2室2厅套房
1条点评,整套出租/1室1厅/1张床/宜住2人,“半日闲雅居”虽无奢华更多的给你*真切的舒适
1条点评,整套出租/2室2厅/2张床/宜住4人,平阳路 长风街路口 平阳景苑高层住宅 大2居
0条点评,整套出租/1室0厅/2张床/宜住3人,《谷雨民宿》亲子房，城市中心设施齐全阳光满屋
4.9分/5条点评,整套出租/1室1厅/1张床/宜住2人,太原迎泽西大街奥林匹克花有电脑可上网拎包入住
0条点评,整套出租/1室0厅/1张床/宜住2人,【橙途】近下元理工大欧系温馨公寓式一居室
0条点评,整套出租/1室1厅/1张床/宜住2人,思寓公寓 loft大床房 南站飞机场大医院
1条点评,整套出租/2室1厅/2张床/宜住4人,长治路奥林花园智能门锁温馨两居室，近亲贤街长
1条点评,整套出租/1室1厅/1张床/宜住2人,欧洲印象一室一厅
3条点评,整套出租/1室0厅/2张床/宜住3人,热带雨林ins浪漫温馨大窗房 下元繁华商业区
3条点评,整套出租/1室1厅/1张床/宜住2人,温馨舒适并州北路省人民医院附近大床房
1条点评,整套出租/1室1厅/1张床/宜住2人,太原北美N1【以家】南站机场1室1厅清爽套房
3条点评,独立单间/1张床/宜住2人,滨河东路观景北欧大床民宿2号
2条点评,整套出租/1室1厅/1张床/宜住2人,北美N1 蜗牛公寓，临近N1商场，山大，财大
1条点评,整套出租/1室0厅/1张床/宜住2人,长风街北美新天地 市景开放式大床房
0条点评,整套出租/2室1厅/2张床/宜住4人,"山西肿瘤医院附近温馨
二居室/近火车站柳巷"
3条点评,整套出租/1室1厅/1张床/宜住2人,北美N1 蜗牛公寓，临近N1商场，山大，财大
4.2分/4条点评,整套出租/2室1厅/2张床/宜住4人,【橙途】柳巷/铜锣湾带阳台复式温馨两居
3条点评,独立单间/1张床/宜住2人,山大一院山西医科大学 迎泽公园迎泽大街民宿
0条点评,整套出租/1室0厅/1张床/宜住2人,近N1【顺牛＆民宿】【欧风】豪华欧式独居室
5分/4条点评,独立单间/1张床/宜住2人,科技大学新西客站万柏林实验中学西环兴华街民宿
0条点评,整套出租/2室1厅/2张床/宜住4人,《时光民宿》富力现代万科蓝山旁 休闲花语两居
0条点评,整套出租/1室0厅/1张床/宜住2人,缘小舍 •『悬空home』ins风/智能投影
0条点评,整套出租/1室0厅/1张床/宜住2人,波西米亚房120寸投影大床独立厨卫洗衣做饭
0条点评,整套出租/2室1厅/1张床/宜住4人,北美N1【以家】南站机场1室1厅名古屋套房
0条点评,整套出租/2室1厅/2张床/宜住4人,高层阳光充沛的俩室大床房，高配电脑开黑盘他！
1条点评,整套出租/1室0厅/1张床/宜住2人,优家house国际公寓阳光恋人大床房
